dpto,nomdpto,barrio,NOM_BARRIO,estrato,nper,sexo,edad,ascendencia,primaria,primaria_finalizado,educacionMedia,educacionMedia_finalizado,educacionTecnica,educacionTecnica_finalizado,magisterio,magisterio_Finalizado,universisdad,universidad_Finalizado,noUniversitario,noUniversitario_finalizado,postgrado,postgrado_finalizado,actividad_economica,total_ingresos
1,MONTEVIDEO,22,Ituzaingo,2,1,2,40,3,2,1,2,1,3,0,3,0,3,0,2,1,3,0,2,24134
1,MONTEVIDEO,22,Ituzaingo,2,2,1,48,3,2,1,2,2,2,1,3,0,3,0,3,0,3,0,2,19736
1,MONTEVIDEO,22,Ituzaingo,2,3,2,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,4,Cordon,4,1,2,38,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,43267
1,MONTEVIDEO,4,Cordon,4,2,2,17,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,7,Punta Carretas,5,1,1,78,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,26000
1,MONTEVIDEO,52,Sayago,3,1,2,76,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,10,45000
1,MONTEVIDEO,39,Prado Nueva Savona,5,1,2,72,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,8200
1,MONTEVIDEO,39,Prado Nueva Savona,5,2,2,90,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,9,17000
1,MONTEVIDEO,39,Prado Nueva Savona,5,3,1,68,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,10,12800
1,MONTEVIDEO,34,Penarol Lavalleja,1,1,2,78,3,2,1,2,1,3,0,2,1,3,0,3,0,3,0,10,46000
1,MONTEVIDEO,10,Pque. Batlle V. Dolores,4,1,1,39,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,25750
1,MONTEVIDEO,10,Pque. Batlle V. Dolores,4,2,2,35,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,11750
1,MONTEVIDEO,10,Pque. Batlle V. Dolores,4,3,2,12,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,4,Cordon,4,1,2,27,3,2,1,2,1,3,0,3,0,2,1,3,0,2,1,2,73601
1,MONTEVIDEO,16,Banados de Carrasco,2,1,2,66,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,13500
1,MONTEVIDEO,49,La Comercial,3,1,2,24,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,16750
1,MONTEVIDEO,32,Manga Toledo Chico,1,1,2,62,3,2,1,2,1,3,0,3,0,2,2,3,0,3,0,2,25727
1,MONTEVIDEO,32,Manga Toledo Chico,1,2,1,72,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,28000
1,MONTEVIDEO,21,Jardines del Hipodromo,1,1,2,37,3,2,1,2,2,2,2,3,0,3,0,3,0,3,0,2,16096
1,MONTEVIDEO,21,Jardines del Hipodromo,1,2,2,18,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,4,0
1,MONTEVIDEO,21,Jardines del Hipodromo,1,3,1,8,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,4,Cordon,4,1,2,48,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,28732
1,MONTEVIDEO,8,Pocitos,4,1,2,39,3,2,1,2,1,3,0,3,0,2,1,3,0,2,2,2,57880
1,MONTEVIDEO,32,Manga Toledo Chico,2,1,2,54,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,6,0
1,MONTEVIDEO,32,Manga Toledo Chico,2,2,2,26,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,14431
1,MONTEVIDEO,32,Manga Toledo Chico,2,3,1,26,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,18751
1,MONTEVIDEO,32,Manga Toledo Chico,2,4,1,5,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,34,Penarol Lavalleja,3,1,1,67,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,41601
1,MONTEVIDEO,34,Penarol Lavalleja,3,2,2,60,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,8,0
1,MONTEVIDEO,37,La Paloma Tomkinson,2,1,2,95,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,10190
1,MONTEVIDEO,41,Aguada,4,1,1,64,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,21742
1,MONTEVIDEO,41,Aguada,4,2,2,56,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,13742
1,MONTEVIDEO,41,Aguada,4,3,1,25,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,23000
1,MONTEVIDEO,13,Punta Gorda,5,1,2,79,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,10,32000
1,MONTEVIDEO,13,Punta Gorda,5,2,1,50,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,31751
1,MONTEVIDEO,31,Piedras Blancas,1,1,1,54,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,53213
1,MONTEVIDEO,31,Piedras Blancas,1,2,2,51,3,2,1,2,2,2,2,3,0,3,0,3,0,3,0,2,10580
1,MONTEVIDEO,31,Piedras Blancas,1,3,2,27,3,2,1,2,1,3,0,3,0,1,2,2,2,3,0,2,8232
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,1,1,35,1,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,37041
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,2,2,29,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,4,1661
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,3,2,6,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,4,2,5,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,6,Parque Rodo,4,1,2,26,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,33132
1,MONTEVIDEO,6,Parque Rodo,4,2,2,24,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,23732
1,MONTEVIDEO,56,Tres Ombues Victoria,3,1,2,79,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,9,6300
1,MONTEVIDEO,56,Tres Ombues Victoria,3,2,1,74,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,9,18000
1,MONTEVIDEO,56,Tres Ombues Victoria,3,3,2,37,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,11750
1,MONTEVIDEO,56,Tres Ombues Victoria,3,4,2,22,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,2,8750
1,MONTEVIDEO,34,Penarol Lavalleja,2,1,2,79,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,9,10000
1,MONTEVIDEO,2,Centro,4,1,2,21,3,2,1,2,1,2,1,3,0,1,2,3,0,3,0,2,36750
1,MONTEVIDEO,2,Centro,4,2,1,26,3,2,1,2,1,3,0,3,0,2,2,2,1,3,0,2,24750
1,MONTEVIDEO,45,La Figurita,3,1,1,46,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,22736
1,MONTEVIDEO,39,Prado Nueva Savona,4,1,2,37,3,2,1,2,1,3,0,3,0,2,1,3,0,2,1,2,70601
1,MONTEVIDEO,39,Prado Nueva Savona,4,2,1,42,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,33601
1,MONTEVIDEO,39,Prado Nueva Savona,4,3,2,5,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,39,Prado Nueva Savona,4,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,MONTEVIDEO,50,Tres Cruces,4,1,1,23,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,9000
1,MONTEVIDEO,4,Cordon,4,1,1,61,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,29000
1,MONTEVIDEO,4,Cordon,4,2,2,58,3,2,1,2,1,3,0,3,0,2,1,3,0,2,1,2,38001
1,MONTEVIDEO,13,Punta Gorda,5,1,1,43,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,34751
1,MONTEVIDEO,13,Punta Gorda,5,2,2,43,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,12251
1,MONTEVIDEO,13,Punta Gorda,5,3,1,17,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,5000
1,MONTEVIDEO,19,Las Canteras,2,1,2,47,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,23601
1,MONTEVIDEO,19,Las Canteras,2,2,1,51,3,2,1,2,1,3,0,3,0,2,2,2,1,3,0,2,46601
1,MONTEVIDEO,19,Las Canteras,2,3,1,25,3,2,1,2,1,3,0,3,0,1,2,2,1,3,0,2,0
1,MONTEVIDEO,19,Las Canteras,2,4,1,22,3,2,1,2,1,3,0,1,2,3,0,3,0,3,0,7,0
1,MONTEVIDEO,13,Punta Gorda,5,1,1,65,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,40227
1,MONTEVIDEO,13,Punta Gorda,5,2,2,67,3,2,1,2,2,2,1,3,0,3,0,3,0,3,0,10,19000
1,MONTEVIDEO,61,Villa Garcia Manga Rur.,1,1,1,75,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,15451
1,MONTEVIDEO,61,Villa Garcia Manga Rur.,1,2,2,18,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,13,Punta Gorda,5,1,1,66,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,10,88000
1,MONTEVIDEO,13,Punta Gorda,5,2,2,52,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,23727
1,MONTEVIDEO,13,Punta Gorda,5,3,2,30,3,2,1,2,1,3,0,1,2,3,0,3,0,3,0,2,13727
1,MONTEVIDEO,13,Punta Gorda,5,4,2,29,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,2,33427
1,MONTEVIDEO,8,Pocitos,4,1,2,45,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,61751
1,MONTEVIDEO,8,Pocitos,4,2,2,19,3,2,1,2,1,3,0,3,0,1,2,3,0,3,0,7,7000
1,MONTEVIDEO,8,Pocitos,4,3,2,17,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,7000
1,MONTEVIDEO,8,Pocitos,4,4,1,14,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,6000
1,MONTEVIDEO,9,Buceo,4,1,2,69,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,6900
1,MONTEVIDEO,53,Conciliacion,2,1,1,32,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,15000
1,MONTEVIDEO,23,Union,3,1,2,77,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,14000
1,MONTEVIDEO,23,Union,3,2,1,44,3,2,1,2,2,2,2,3,0,3,0,3,0,3,0,11,20000
1,MONTEVIDEO,36,Casabo Pajas Blancas,2,1,1,32,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,25149
1,MONTEVIDEO,36,Casabo Pajas Blancas,2,2,2,32,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,6,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,2,3,1,10,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,2,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,MONTEVIDEO,30,Casavalle,1,1,2,36,4,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20661
1,MONTEVIDEO,30,Casavalle,1,2,1,43,1,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20833
1,MONTEVIDEO,30,Casavalle,1,3,2,14,4,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,30,Casavalle,1,4,1,34,4,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,17236
1,MONTEVIDEO,41,Aguada,3,1,1,81,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,17646
1,MONTEVIDEO,41,Aguada,3,2,2,46,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,11750
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,1,1,36,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,27312
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,2,2,35,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,14112
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,3,2,11,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,4,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,5,2,6,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,57,Paso de la Arena,2,1,1,63,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,8000
1,MONTEVIDEO,53,Conciliacion,2,1,2,43,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,16751
1,MONTEVIDEO,53,Conciliacion,2,2,1,40,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,35751
1,MONTEVIDEO,53,Conciliacion,2,3,2,17,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,53,Conciliacion,2,4,2,12,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,53,Conciliacion,2,5,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,9,Buceo,4,1,2,58,3,2,1,2,1,3,0,3,0,3,0,2,1,3,0,2,25242
1,MONTEVIDEO,4,Cordon,4,1,2,69,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,32000
1,MONTEVIDEO,4,Cordon,4,2,2,38,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,16750
1,MONTEVIDEO,4,Cordon,4,3,1,38,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,30750
