DEPARTAMENTO;CIRCUITO;BARRIO;NOM_BARRIO;SERIE;TOTAL HABILITADOS;TOTAL VOTOS EMITIDOS;TOTAL VOTOS NO OBSERVADOS;TOTAL VOTOS OBSERVADOS;TOTAL VOTOS ANULADOS;TOTAL VOTOS EN BLANCO
Montevideo;1;1;Ciudad Vieja;AAA;385;294;290;4;3;3
Montevideo;2;1;Ciudad Vieja;AAA;387;344;340;4;4;1
Montevideo;3;1;Ciudad Vieja;AAA;390;345;342;3;6;4
Montevideo;4;1;Ciudad Vieja;AAA;387;327;324;3;9;2
Montevideo;5;1;Ciudad Vieja;AAA;390;321;319;2;12;4
Montevideo;6;1;Ciudad Vieja;AAA;386;328;325;3;4;0
Montevideo;7;1;Ciudad Vieja;AAA;387;330;328;2;2;6
Montevideo;8;1;Ciudad Vieja;AAA;385;330;329;1;3;6
Montevideo;9;1;Ciudad Vieja;AAA;387;311;309;2;8;3
Montevideo;10;1;Ciudad Vieja;AAA;387;314;313;1;9;0
Montevideo;11;1;Ciudad Vieja;AAA;387;331;330;1;5;3
Montevideo;12;1;Ciudad Vieja;AAA;387;320;318;2;5;2
Montevideo;13;1;Ciudad Vieja;AAA;385;300;298;2;4;3
Montevideo;14;1;Ciudad Vieja;AAA;392;291;290;1;2;2
Montevideo;15;1;Ciudad Vieja;AAB;325;251;247;4;4;2
Montevideo;16;1;Ciudad Vieja;AAB;330;305;304;1;4;5
Montevideo;17;1;Ciudad Vieja;AAB;329;286;285;1;5;3
Montevideo;18;1;Ciudad Vieja;ABA;418;323;321;2;4;0
Montevideo;19;1;Ciudad Vieja;ABB;299;244;239;5;1;4
Montevideo;20;1;Ciudad Vieja;ABB;298;258;254;4;3;4
Montevideo;21;1;Ciudad Vieja;ACA;406;330;328;2;2;2
Montevideo;22;1;Ciudad Vieja;ACA;412;356;354;2;4;3
Montevideo;23;1;Ciudad Vieja;ACA;407;332;331;1;4;3
Montevideo;24;1;Ciudad Vieja;ACA;405;351;348;3;3;4
Montevideo;25;1;Ciudad Vieja;ACA;397;346;345;1;6;3
Montevideo;26;1;Ciudad Vieja;ACA;401;322;318;4;5;0
Montevideo;27;1;Ciudad Vieja;ACA;400;340;338;2;2;6
Montevideo;28;1;Ciudad Vieja;ACA;400;322;320;2;0;4
Montevideo;29;1;Ciudad Vieja;ACA;398;318;316;2;3;4
Montevideo;30;1;Ciudad Vieja;ACA;400;364;362;2;5;3
Montevideo;31;1;Ciudad Vieja;ACA;400;337;336;1;8;3
Montevideo;32;1;Ciudad Vieja;ACA;400;345;342;3;1;2
Montevideo;33;1;Ciudad Vieja;ACA;409;382;381;1;3;4
Montevideo;34;1;Ciudad Vieja;ACB;327;230;226;4;4;1
Montevideo;35;1;Ciudad Vieja;ACB;329;279;275;4;2;2
Montevideo;36;1;Ciudad Vieja;ACB;333;284;281;3;4;5
Montevideo;37;1;Ciudad Vieja;ACB;331;290;286;4;3;1
Montevideo;38;1;Ciudad Vieja;ADA;395;276;272;4;4;1
Montevideo;39;1;Ciudad Vieja;ADA;378;328;327;1;7;4
Montevideo;40;1;Ciudad Vieja;ADB;410;332;329;3;2;7
Montevideo;41;1;Ciudad Vieja;AEA;308;232;230;2;3;0
Montevideo;42;1;Ciudad Vieja;AEA;315;274;271;3;4;1
Montevideo;43;1;Ciudad Vieja;AEA;314;270;268;2;3;2
Montevideo;44;2;Centro;AEA;316;268;267;1;4;3
Montevideo;45;2;Centro;AEB;379;297;295;2;5;3
Montevideo;46;2;Centro;AEB;385;324;321;3;9;1
Montevideo;47;2;Centro;AFA;310;246;243;3;4;1
Montevideo;48;2;Centro;AFA;312;280;278;2;4;3
Montevideo;49;2;Centro;AFA;312;270;269;1;5;7
Montevideo;50;2;Centro;AFB;310;260;258;2;6;3
Montevideo;51;2;Centro;AGA;362;287;286;1;2;2
Montevideo;52;2;Centro;AGA;361;317;315;2;4;4
Montevideo;53;2;Centro;AGB;361;274;270;4;2;0
Montevideo;54;2;Centro;AGB;367;309;307;2;5;1
Montevideo;55;2;Centro;AGB;368;314;311;3;4;6
Montevideo;56;2;Centro;AHA;352;249;245;4;2;3
Montevideo;57;2;Centro;AHA;359;303;301;2;6;4
Montevideo;58;2;Centro;AHA;362;316;315;1;6;4
Montevideo;59;2;Centro;AHA;361;311;310;1;7;1
Montevideo;60;2;Centro;AHB;377;282;280;2;6;4
Montevideo;61;2;Centro;AHB;379;336;333;3;3;1
Montevideo;62;2;Centro;AHB;385;340;339;1;2;2
Montevideo;63;2;Centro;AIA;392;297;293;4;0;3
Montevideo;64;2;Centro;AIA;397;353;349;4;4;2
Montevideo;65;2;Centro;AIA;397;345;344;1;5;3
Montevideo;66;2;Centro;AIA;395;348;347;1;4;3
Montevideo;67;2;Centro;AIA;394;336;335;1;1;3
Montevideo;68;2;Centro;AIA;396;335;332;3;1;8
Montevideo;69;2;Centro;AIA;398;340;339;1;4;4
Montevideo;70;2;Centro;AIA;396;338;338;0;4;1
