DEPARTAMENTO,CIRCUITO,SERIE,LEMA,HOJA,CANTIDAD VOTOS
Montevideo,1,AAA,Frente Amplio,90,22
Montevideo,1,AAA,Frente Amplio,329,2
Montevideo,1,AAA,Frente Amplio,609,32
Montevideo,1,AAA,Frente Amplio,711,17
Montevideo,1,AAA,Frente Amplio,906,1
Montevideo,1,AAA,Frente Amplio,1001,3
Montevideo,1,AAA,Frente Amplio,1642,1
Montevideo,1,AAA,Frente Amplio,2121,13
Montevideo,1,AAA,Frente Amplio,3311,3
Montevideo,1,AAA,Frente Amplio,6009,2
Montevideo,1,AAA,Frente Amplio,99738,10
Montevideo,1,AAA,Frente Amplio,181563,1
Montevideo,1,AAA,Frente Amplio,775005,2
Montevideo,2,AAA,Frente Amplio,90,12
Montevideo,2,AAA,Frente Amplio,329,3
Montevideo,2,AAA,Frente Amplio,609,74
Montevideo,2,AAA,Frente Amplio,611,4
Montevideo,2,AAA,Frente Amplio,642,1
Montevideo,2,AAA,Frente Amplio,711,26
Montevideo,2,AAA,Frente Amplio,906,1
Montevideo,2,AAA,Frente Amplio,1001,7
Montevideo,2,AAA,Frente Amplio,1303,1
Montevideo,2,AAA,Frente Amplio,1642,6
Montevideo,2,AAA,Frente Amplio,1968,2
Montevideo,2,AAA,Frente Amplio,2121,17
Montevideo,2,AAA,Frente Amplio,3311,7
Montevideo,2,AAA,Frente Amplio,6009,1
Montevideo,2,AAA,Frente Amplio,7373,3
Montevideo,2,AAA,Frente Amplio,99738,6
Montevideo,2,AAA,Frente Amplio,181563,1
Montevideo,2,AAA,Frente Amplio,775005,5
Montevideo,2,AAA,Frente Amplio,1813800,2
Montevideo,3,AAA,Frente Amplio,90,14
Montevideo,3,AAA,Frente Amplio,329,7
Montevideo,3,AAA,Frente Amplio,609,51
Montevideo,3,AAA,Frente Amplio,642,2
Montevideo,3,AAA,Frente Amplio,711,24
Montevideo,3,AAA,Frente Amplio,890,1
Montevideo,3,AAA,Frente Amplio,906,5
Montevideo,3,AAA,Frente Amplio,1001,8
Montevideo,3,AAA,Frente Amplio,1968,1
Montevideo,3,AAA,Frente Amplio,2121,14
Montevideo,3,AAA,Frente Amplio,3311,5
Montevideo,3,AAA,Frente Amplio,6009,15
Montevideo,3,AAA,Frente Amplio,7373,1
Montevideo,3,AAA,Frente Amplio,9393,1
Montevideo,3,AAA,Frente Amplio,99738,7
Montevideo,3,AAA,Frente Amplio,181563,1
Montevideo,3,AAA,Frente Amplio,775005,6
Montevideo,4,AAA,Frente Amplio,90,21
Montevideo,4,AAA,Frente Amplio,329,1
Montevideo,4,AAA,Frente Amplio,609,55
Montevideo,4,AAA,Frente Amplio,611,4
Montevideo,4,AAA,Frente Amplio,711,12
Montevideo,4,AAA,Frente Amplio,906,3
Montevideo,4,AAA,Frente Amplio,1001,7
Montevideo,4,AAA,Frente Amplio,1303,2
Montevideo,4,AAA,Frente Amplio,1642,1
Montevideo,4,AAA,Frente Amplio,2121,16
Montevideo,4,AAA,Frente Amplio,3311,5
Montevideo,4,AAA,Frente Amplio,6009,5
Montevideo,4,AAA,Frente Amplio,99738,7
Montevideo,4,AAA,Frente Amplio,775005,4
Montevideo,5,AAA,Frente Amplio,90,19
Montevideo,5,AAA,Frente Amplio,329,4
Montevideo,5,AAA,Frente Amplio,609,58
Montevideo,5,AAA,Frente Amplio,611,4
Montevideo,5,AAA,Frente Amplio,711,24
Montevideo,5,AAA,Frente Amplio,906,4
Montevideo,5,AAA,Frente Amplio,1001,10
Montevideo,5,AAA,Frente Amplio,1303,2
Montevideo,5,AAA,Frente Amplio,1642,3
